Driver,Team,LapTime,LapNumber,Compound,TyreLife,Stint,IsAccurate,Year,GP,LapTimeSeconds,NormalizedLapTime,CompoundEncoded
SAI,Ferrari,0 days 00:01:35.309000,54.0,HARD,19.0,3.0,True,2024,Bahrain,95.309,7.544985461441215,2.0
SAI,Ferrari,0 days 00:01:35.407000,55.0,HARD,20.0,3.0,True,2024,Bahrain,95.407,7.642985461441214,2.0
SAI,Ferrari,0 days 00:01:35.305000,56.0,HARD,21.0,3.0,True,2024,Bahrain,95.305,7.540985461441224,2.0
SAI,Ferrari,0 days 00:01:35.327000,57.0,HARD,22.0,3.0,True,2024,Bahrain,95.327,7.562985461441215,2.0
LEC,Ferrari,0 days 00:01:36.862000,2.0,SOFT,5.0,1.0,True,2024,Bahrain,96.862,9.070313424009456,0.0
LEC,Ferrari,0 days 00:01:38.062000,3.0,SOFT,6.0,1.0,True,2024,Bahrain,98.062,10.270313424009458,0.0
LEC,Ferrari,0 days 00:01:37.752000,4.0,SOFT,7.0,1.0,True,2024,Bahrain,97.752,9.960313424009456,0.0
LEC,Ferrari,0 days 00:01:38.131000,5.0,SOFT,8.0,1.0,True,2024,Bahrain,98.131,10.339313424009461,0.0
LEC,Ferrari,0 days 00:01:37.782000,6.0,SOFT,9.0,1.0,True,2024,Bahrain,97.782,9.990313424009457,0.0
LEC,Ferrari,0 days 00:01:38.957000,7.0,SOFT,10.0,1.0,True,2024,Bahrain,98.957,11.165313424009454,0.0
LEC,Ferrari,0 days 00:01:38.136000,8.0,SOFT,11.0,1.0,True,2024,Bahrain,98.136,10.344313424009457,0.0
LEC,Ferrari,0 days 00:01:37.844000,9.0,SOFT,12.0,1.0,True,2024,Bahrain,97.844,10.052313424009455,0.0
LEC,Ferrari,0 days 00:01:37.884000,10.0,SOFT,13.0,1.0,True,2024,Bahrain,97.884,10.092313424009461,0.0
LEC,Ferrari,0 days 00:01:36.432000,13.0,HARD,2.0,2.0,True,2024,Bahrain,96.432,8.640313424009463,2.0
LEC,Ferrari,0 days 00:01:36.756000,14.0,HARD,3.0,2.0,True,2024,Bahrain,96.756,8.964313424009461,2.0
LEC,Ferrari,0 days 00:01:36.813000,15.0,HARD,4.0,2.0,True,2024,Bahrain,96.813,9.021313424009463,2.0
LEC,Ferrari,0 days 00:01:36.673000,16.0,HARD,5.0,2.0,True,2024,Bahrain,96.673,8.881313424009463,2.0
LEC,Ferrari,0 days 00:01:37.302000,17.0,HARD,6.0,2.0,True,2024,Bahrain,97.302,9.510313424009468,2.0
LEC,Ferrari,0 days 00:01:37.438000,18.0,HARD,7.0,2.0,True,2024,Bahrain,97.438,9.646313424009463,2.0
LEC,Ferrari,0 days 00:01:36.821000,19.0,HARD,8.0,2.0,True,2024,Bahrain,96.821,9.029313424009459,2.0
LEC,Ferrari,0 days 00:01:36.794000,20.0,HARD,9.0,2.0,True,2024,Bahrain,96.794,9.002313424009458,2.0
LEC,Ferrari,0 days 00:01:36.977000,21.0,HARD,10.0,2.0,True,2024,Bahrain,96.977,9.185313424009465,2.0
LEC,Ferrari,0 days 00:01:36.796000,22.0,HARD,11.0,2.0,True,2024,Bahrain,96.796,9.004313424009467,2.0
LEC,Ferrari,0 days 00:01:36.987000,23.0,HARD,12.0,2.0,True,2024,Bahrain,96.987,9.195313424009456,2.0
LEC,Ferrari,0 days 00:01:36.924000,24.0,HARD,13.0,2.0,True,2024,Bahrain,96.924,9.132313424009467,2.0
LEC,Ferrari,0 days 00:01:36.760000,25.0,HARD,14.0,2.0,True,2024,Bahrain,96.76,8.968313424009466,2.0
LEC,Ferrari,0 days 00:01:36.810000,26.0,HARD,15.0,2.0,True,2024,Bahrain,96.81,9.018313424009463,2.0
LEC,Ferrari,0 days 00:01:36.831000,27.0,HARD,16.0,2.0,True,2024,Bahrain,96.831,9.039313424009464,2.0
LEC,Ferrari,0 days 00:01:36.907000,28.0,HARD,17.0,2.0,True,2024,Bahrain,96.907,9.115313424009457,2.0
LEC,Ferrari,0 days 00:01:36.963000,29.0,HARD,18.0,2.0,True,2024,Bahrain,96.963,9.171313424009455,2.0
LEC,Ferrari,0 days 00:01:37.158000,30.0,HARD,19.0,2.0,True,2024,Bahrain,97.158,9.366313424009462,2.0
LEC,Ferrari,0 days 00:01:37.031000,31.0,HARD,20.0,2.0,True,2024,Bahrain,97.031,9.239313424009467,2.0
